Frog:David, 2011:12/34/3:12678/345678/3:5:0:1:3:2:.2A$A2.A$A2.A!
:Tropylium, 2011:12/346/3:125678/34678/3:6:0:1:2:2:.A$A.A$A.A!
::/2/3:2345678/2345678/3:4:1:1:3:3:2.B$3.A$BAB$.A!
::/2/3:02345678/2345678/3:1:0:1:1:1:2B$2A!
:Hunting, 2020:124/3/3:124678/38/3:4:0:1:6:11:4.2A$4.A.B$3.A$3.A2BA$.2A2.AB$.BAB.B$2.A2.A$2.3A2$4A$.ABA$A.A!
:AlephAlpha, 2020:124/3/3:12478/38/3:5:0:1:13:12:4.A4.A$3.A6.A2$3.2A4.2A$B.A.B.2A.B.A.B$2.A.B4AB.A$2A2.A4.A2.2A$4.6B$4.2A2B2A$5.A2.A$5.A2.A$5.A2.A$6.2A!
:AlephAlpha, 2020:124/3/3:124678/38/3:6:0:1:10:37:.3A3.3A$2.B.A.A.B$A.2A3.2A.A$BA.A3.A.AB$4A3.4A$2.A5.A$2A.A3.A.2A$A.A.A.A.A.A$A.2A3.2A.A$2A7.2A$.4A.4A$3.2A.2A$A9.A$.B2A3.2AB$2.B.B.B.B$2.B5.B$A.3A.3A.A$.A.B3.B.A$2.3A.3A2$4.A.A$3.AB.BA$3.ABABA$2A.B3.B.2A$.A.BABAB.A$.AB2.B2.BA$AB.A.A.A.BA$2.BAB.BAB$4.A.A$A3.A.A3.A$ABABA.ABABA$2.A.A.A.A$3.A3.A$2.A5.A$.2A5.2A$B2.A3.A2.B$ABA5.ABA$.A7.A!
:AlephAlpha, 2020:124/3/3:124678/3678/3:4:1:1:6:7:2.A2B$A.2B.A$.BABA.A$.A4.A$.A3.A$A2.A$.6A$5.A!
:Muzik, 2017:23/34567/3:237/345678/3:12:0:4:4:7:2.B3$.B.B$A3.A$A3.A$.A.A$2.A!
:Muzik, 2017:23/3456/3:238/345678/3:86:0:2:4:6:3.AB$2.A.A$2.2AB$3.A$.A$B2A$.2A!
:Lemon41625, 2020:23/345/3:0238/345678/3:4:0:1:6:5:4.B$2.B2.A$.A3.2A$2A3.2A$2A2.2A$.2A!
::23/3/3:23678/3578/3:4:0:2:5:4:.2A$4AB$.A2.2A$2.3A$3.A!
:Lemon41625, 2020:236/357/3:2368/3578/3:52:0:8:6:4:.B$B$4.3A$5.BA$5.2A!
:Lemon41625, 2020:2368/357/3:2368/357/3:119:0:3:2:2:ABA$A.A$.A!
:Lemon41625, 2020:236/357/3:023678/3578/3:3:0:1:19:12:6.AB4.BA$5.A8.A$6.3A2.3A$3.B4.4A4.B$2.A2.2A6.2A2.A$3.2AB.A.2A.A.B2A$6.3A2.3A$2.B.2A.A.2A.A.2A.B$.A2.A2.A4.A2.A2.A$B.A4.A4.A4.A.B$2.2A.2A6.2A.2A$.A2.2A8.2A2.A$2.3A10.3A!
:Lemon41625, 2020:236/35/3:02368/3578/3:3:0:1:19:15:6.B6.B$5.A.A4.A.A$6.AB4.BA$.2A2.A2.A2.A2.A2.2A$3A.2B.AB2.BA.2B.3A$2A.4B2.2A2.4B.2A$.6A2.2A2.6A$2.A2.A2.A2.A2.A2.A$6.3A2.3A$4.BA2B4.2BAB$2.B2.2B.4A.2B2.B$.A2.3A2.2A2.3A2.A$2.2A2.BA4.AB2.2A$3.2BA2BA2.A2BA2B$2.A2B.2A4.2A.2BA$3.3A8.3A!
:Apple Bottom, 2017:125/36/3:125/368/3:12:0:4:5:10:B4.B2$2A2.2A6$6A$2.2B$6A!
::23/3/3:23678/378/3:14:0:4:4:5:2.A$.ABA$2A.2A$A3.A$.A.A$2.A!
:Apple Bottom, 2017:126/345/3:126/3458/3:16:0:2:5:6:3.2A$4.2A$.A3.A$2A$2A2.A$2A2.2A$.A2.A!
:LaundryPizza03, 2020:245/34/3:024578/34678/3:4:0:2:5:6:4.A$3.BAB2$B3.2A$.A2.A$6A$.4A!
:LaundryPizza03, 2020:245/34/3:24578/348/3:8:0:4:5:5:B4.B$2.2A$2A2.2A$BA2BAB$6A$2.2A!
:LaundryPizza03, 2020:245/34/3:2458/348/3:20:3:3:6:6:5.A$.A2.ABA$4A2.A$.A2B2.A$.A.B2A$2.A.2A$3.2A!
:Lemon41625, 2020:235/356/3:2358/3568/3:3:0:1:19:16:4.A10.A$2.ABA10.ABA$.A3BA.AB2.BA.A3BA$2.2A3B6.3B2A$4.A2.6A2.A$4.A.2A.2A.2A.A$2.A3BAB4ABA3BA$.A2.3A.A2.A.3A2.A$2.2A.3A4.3A.2A$4.B2.B4.B2.B$3.ABA.A4.A.ABA$4.4A4.4A$6.B2A2.2AB$3.B2AB2A2.2AB2AB$AB.2A.2A4.2A.2A.BA$BAB2.2A6.2A2.BAB$2A.3A8.3A.2A!
:Lemon41625, 2020:235/356/3:02358/356/3:2:0:1:8:9:3.B.B$4.A$2.ABABA$2.BA.AB$.A.ABA.A$2.2A.2A$AB.ABA.BA$.ABA.ABA$.3A.3A$2.A3.A!
:Muzik, 2017:237/357/3:2378/3578/3:11:0:4:4:10:2.B3$2.B$2.B3$.3A$2A.2A$2A.2A$2.A!
:Lemon41625, 2020:237/35/3:2378/35678/3:3:0:1:7:19:.A.2A.A$A2B2.2BA$ABA2.ABA$.2A2.2A$2.B2.B$3.2A$4.3AB$5.2A$.AB2.2A$A2.A$B.A.B$2.2A$.A3.2AB$2.5A$6.A$4.BAB$.B.A.2A$A3.2A$.4A$2.A!
:Lemon41625, 2020:12/35/3:124678/35678/3:5:0:1:2:2:.A$A.A$A.A!
