:Lemon41265, 2020:R2,C2,S0,2-3,10,B0-3,5,NN:R2,C2,S0,2-3,10,B0-3,5,NN:14:-3:3:5:5:2o2bo$b3ob$2b2ob$3b2o$4bo!
:Lemon41625, 2020:R2,C2,S2,10,B0-3,NN:R2,C2,S0,2-8,10,B0-3,5-8,11-12,NN:2:1:-1:3:3:2ob$2bo$2bo!
:Lemon41625, 2020:R2,C2,S2-3,10,B0-3,NN:R2,C2,S0,2-6,10,B0-3,5-6,8,12,NN:2:-1:1:6:6:3bo2b$bobo2b$o3b2o$6b$4bob$3bo!
:Lemon41625, 2020:R2,C2,S0-3,11,B0-5,NN:R2,C2,S0-3,11,B0-5,NN:268:30:0:61:59:46bo14b$45b3o13b$45bobo13b$43b2obob2o11b$42b2obobob2o10b$44bobobo12b$40bob2obobob2obo8b$39b2obobobobobob2o7b$39bobob2obob2obobo7b$37b2obobo7bobob2o5b$36b2obobob2o3b2obobob2o4b$37b2obobo6b2obob2o5b$39bobobob2o4bobo7b$39b2obo4bo3b3o7b$40bo7bo3bo8b$42bo2bo2bo12b$42bo5bo12b$43bo3bo13b$15b3o26b3o3b2o9b$14bo46b$13bo47b$13bo2b3o27b2o2b2o2bo6b$5b4o4bo2b3o2bo23bo3b4o8b$4bo4bo4bo2b3o2b2o20bo4b4o2bo5b$3bo2b2o2bo6b3o24bo4b5o7b$3bob4o6bob5o22bo4b6o6b$3bob4o6bo2b6o2bo18bo3b7o2bo2b$2b2o2b3o3bo5b6o22b2o2b7o2bob$b4o7bo6b6o2bo19bob9o2bo$2ob2o7bo4bob3ob2o2bo19bob9o2bo$b4o7bo6b6o2bo19bob9o2bo$2b2o2b3o3bo5b6o22b2o2b7o2bob$3bob4o6bo2b6o2bo18bo3b7o2bo2b$3bob4o6bob5o22bo4b6o6b$3bo2b2o2bo6b3o24bo4b5o7b$4bo4bo4bo2b3o2b2o20bo4b4o2bo5b$5b4o4bo2b3o2bo23bo3b4o8b$13bo2b3o27b2o2b2o2bo6b$13bo47b$14bo46b$15b3o26b3o3b2o9b$43bo3bo13b$42bo5bo12b$42bo2bo2bo12b$40bo7bo3bo8b$39b2obo4bo3b3o7b$39bobobob2o4bobo7b$37b2obobo6b2obob2o5b$36b2obobob2o3b2obobob2o4b$37b2obobo7bobob2o5b$39bobob2obob2obobo7b$39b2obobobobobob2o7b$40bob2obobob2obo8b$44bobobo12b$42b2obobob2o10b$43b2obob2o11b$45bobo13b$45b3o13b$46bo!
:Lemon41625, 2020:R2,C2,S0,2-3,10,B0-3,5,NN:R2,C2,S0,2-3,10,B0-3,5,NN:42:-2:0:7:6:4bo2b$2bo4b$2o4bo$2o4bo$2bo4b$4bo!
:Lemon41625, 2020:R2,C2,S2,B3,NN:R2,C2,S2,4,6-12,B3,6,8-12,NN:2:1:1:4:4:bo2b$2obo$2b2o$b2o!
:Lemon41625, 2020:R2,C2,S2,B3,NN:R2,C2,S2,5-12,B3,6-12,NN:4:0:2:2:6:2o$bo$ob$bo$bo$o!
:Lemon41625, 2020:R2,C2,S2,B3,NN:R2,C2,S2,8-12,B3,9-12,NN:6:-1:-1:7:7:6bo$5b2o$4bo2b$7b$2bo4b$bo5b$2o!
:Lemon41625, 2020:R2,C2,S2,B3,NN:R2,C2,S2,6-12,B3,7-12,NN:10:-1:1:6:5:6o$bo4b$4b2o$b3obo$3bo!
:Lemon41625, 2020:R2,C2,S2,B3,9,NN:R2,C2,S2,7-12,B3,7-12,NN:11:-3:0:9:4:8bo$obo5bo$obo5bo$8bo!
:Lemon41625, 2020:R2,C2,S2,B3,NN:R2,C2,S2,8-12,B3,8-12,NN:16:4:5:4:4:4o$o3b$3bo$b2o!
:Lemon41625, 2020:R2,C2,S2,B3,NN:R2,C2,S2,10-12,B3,8-12,NN:28:2:-2:11:10:2o9b$bo9b$bo9b$11b$11b$11b$11b$11b$8b3o$10bo!
